Title,Price,Rating,Availability
The Perfect Play (Play by Play #1),59.99,3,In stock
Last One Home (New Beginnings #1),59.98,3,In stock
Civilization and Its Discontents,59.95,2,In stock
The Barefoot Contessa Cookbook,59.92,5,In stock
The Diary of a Young Girl,59.9,3,In stock
The Bone Hunters (Lexy Vaughan & Steven Macaulay #2),59.71,3,In stock
Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,59.64,1,In stock
Boar Island (Anna Pigeon #19),59.48,3,In stock
The Man Who Mistook His Wife for a Hat and Other Clinical Tales,59.45,4,In stock
The Improbability of Love,59.45,1,In stock
